fold,horizon,seed,model_family,objective,reason,traceback,invalidates_aggregate_claims,status,run_id
1,50,0,deeplob_style,supervised,existing completed run reused,,False,skipped_existing,fold_1__h50__seed_0__lb20__deeplob_style__supervised
1,50,0,matrix_transformer,supervised,existing completed run reused,,False,skipped_existing,fold_1__h50__seed_0__lb50__supervised
1,50,0,deeplob_style,supervised,existing completed run reused,,False,skipped_existing,fold_1__h50__seed_0__lb50__deeplob_style__supervised
1,50,0,matrix_transformer,supervised,existing completed run reused,,False,skipped_existing,fold_1__h50__seed_0__lb100__supervised
1,50,0,deeplob_style,supervised,existing completed run reused,,False,skipped_existing,fold_1__h50__seed_0__lb100__deeplob_style__supervised
1,50,1,matrix_transformer,supervised,existing completed run reused,,False,skipped_existing,fold_1__h50__seed_1__lb20__supervised
1,50,1,deeplob_style,supervised,existing completed run reused,,False,skipped_existing,fold_1__h50__seed_1__lb20__deeplob_style__supervised
1,50,1,matrix_transformer,supervised,existing completed run reused,,False,skipped_existing,fold_1__h50__seed_1__lb50__supervised
1,50,1,deeplob_style,supervised,existing completed run reused,,False,skipped_existing,fold_1__h50__seed_1__lb50__deeplob_style__supervised
1,50,1,matrix_transformer,supervised,existing completed run reused,,False,skipped_existing,fold_1__h50__seed_1__lb100__supervised
1,50,1,deeplob_style,supervised,existing completed run reused,,False,skipped_existing,fold_1__h50__seed_1__lb100__deeplob_style__supervised
1,50,2,matrix_transformer,supervised,existing completed run reused,,False,skipped_existing,fold_1__h50__seed_2__lb20__supervised
1,50,2,deeplob_style,supervised,existing completed run reused,,False,skipped_existing,fold_1__h50__seed_2__lb20__deeplob_style__supervised
1,50,2,matrix_transformer,supervised,existing completed run reused,,False,skipped_existing,fold_1__h50__seed_2__lb50__supervised
1,50,2,deeplob_style,supervised,existing completed run reused,,False,skipped_existing,fold_1__h50__seed_2__lb50__deeplob_style__supervised
1,50,2,matrix_transformer,supervised,existing completed run reused,,False,skipped_existing,fold_1__h50__seed_2__lb100__supervised
1,50,2,deeplob_style,supervised,existing completed run reused,,False,skipped_existing,fold_1__h50__seed_2__lb100__deeplob_style__supervised
2,10,0,matrix_transformer,supervised,existing completed run reused,,False,skipped_existing,fold_2__h10__seed_0__lb20__supervised
2,10,0,deeplob_style,supervised,existing completed run reused,,False,skipped_existing,fold_2__h10__seed_0__lb20__deeplob_style__supervised
2,10,0,matrix_transformer,supervised,existing completed run reused,,False,skipped_existing,fold_2__h10__seed_0__lb50__supervised
2,10,0,deeplob_style,supervised,existing completed run reused,,False,skipped_existing,fold_2__h10__seed_0__lb50__deeplob_style__supervised
2,10,0,matrix_transformer,supervised,existing completed run reused,,False,skipped_existing,fold_2__h10__seed_0__lb100__supervised
2,10,0,deeplob_style,supervised,existing completed run reused,,False,skipped_existing,fold_2__h10__seed_0__lb100__deeplob_style__supervised
2,10,1,matrix_transformer,supervised,existing completed run reused,,False,skipped_existing,fold_2__h10__seed_1__lb20__supervised
2,10,1,deeplob_style,supervised,existing completed run reused,,False,skipped_existing,fold_2__h10__seed_1__lb20__deeplob_style__supervised
2,10,1,matrix_transformer,supervised,existing completed run reused,,False,skipped_existing,fold_2__h10__seed_1__lb50__supervised
2,10,1,deeplob_style,supervised,existing completed run reused,,False,skipped_existing,fold_2__h10__seed_1__lb50__deeplob_style__supervised
2,10,1,matrix_transformer,supervised,existing completed run reused,,False,skipped_existing,fold_2__h10__seed_1__lb100__supervised
2,10,1,deeplob_style,supervised,existing completed run reused,,False,skipped_existing,fold_2__h10__seed_1__lb100__deeplob_style__supervised
2,10,2,matrix_transformer,supervised,existing completed run reused,,False,skipped_existing,fold_2__h10__seed_2__lb20__supervised
2,10,2,deeplob_style,supervised,existing completed run reused,,False,skipped_existing,fold_2__h10__seed_2__lb20__deeplob_style__supervised
2,10,2,matrix_transformer,supervised,existing completed run reused,,False,skipped_existing,fold_2__h10__seed_2__lb50__supervised
2,10,2,deeplob_style,supervised,existing completed run reused,,False,skipped_existing,fold_2__h10__seed_2__lb50__deeplob_style__supervised
2,10,2,matrix_transformer,supervised,existing completed run reused,,False,skipped_existing,fold_2__h10__seed_2__lb100__supervised
2,10,2,deeplob_style,supervised,existing completed run reused,,False,skipped_existing,fold_2__h10__seed_2__lb100__deeplob_style__supervised
2,50,0,matrix_transformer,supervised,existing completed run reused,,False,skipped_existing,fold_2__h50__seed_0__lb20__supervised
2,50,0,deeplob_style,supervised,existing completed run reused,,False,skipped_existing,fold_2__h50__seed_0__lb20__deeplob_style__supervised
2,50,0,matrix_transformer,supervised,existing completed run reused,,False,skipped_existing,fold_2__h50__seed_0__lb50__supervised
2,50,0,deeplob_style,supervised,existing completed run reused,,False,skipped_existing,fold_2__h50__seed_0__lb50__deeplob_style__supervised
2,50,0,matrix_transformer,supervised,existing completed run reused,,False,skipped_existing,fold_2__h50__seed_0__lb100__supervised
2,50,0,deeplob_style,supervised,existing completed run reused,,False,skipped_existing,fold_2__h50__seed_0__lb100__deeplob_style__supervised
2,50,1,matrix_transformer,supervised,existing completed run reused,,False,skipped_existing,fold_2__h50__seed_1__lb20__supervised
2,50,1,deeplob_style,supervised,existing completed run reused,,False,skipped_existing,fold_2__h50__seed_1__lb20__deeplob_style__supervised
2,50,1,matrix_transformer,supervised,existing completed run reused,,False,skipped_existing,fold_2__h50__seed_1__lb50__supervised
2,50,1,deeplob_style,supervised,existing completed run reused,,False,skipped_existing,fold_2__h50__seed_1__lb50__deeplob_style__supervised
2,50,1,matrix_transformer,supervised,existing completed run reused,,False,skipped_existing,fold_2__h50__seed_1__lb100__supervised
2,50,1,deeplob_style,supervised,existing completed run reused,,False,skipped_existing,fold_2__h50__seed_1__lb100__deeplob_style__supervised
2,50,2,matrix_transformer,supervised,existing completed run reused,,False,skipped_existing,fold_2__h50__seed_2__lb20__supervised
2,50,2,deeplob_style,supervised,existing completed run reused,,False,skipped_existing,fold_2__h50__seed_2__lb20__deeplob_style__supervised
2,50,2,matrix_transformer,supervised,existing completed run reused,,False,skipped_existing,fold_2__h50__seed_2__lb50__supervised
2,50,2,deeplob_style,supervised,existing completed run reused,,False,skipped_existing,fold_2__h50__seed_2__lb50__deeplob_style__supervised
2,50,2,matrix_transformer,supervised,existing completed run reused,,False,skipped_existing,fold_2__h50__seed_2__lb100__supervised
2,50,2,deeplob_style,supervised,existing completed run reused,,False,skipped_existing,fold_2__h50__seed_2__lb100__deeplob_style__supervised
3,10,0,matrix_transformer,supervised,existing completed run reused,,False,skipped_existing,fold_3__h10__seed_0__lb20__supervised
3,10,0,deeplob_style,supervised,existing completed run reused,,False,skipped_existing,fold_3__h10__seed_0__lb20__deeplob_style__supervised
3,10,0,matrix_transformer,supervised,existing completed run reused,,False,skipped_existing,fold_3__h10__seed_0__lb50__supervised
3,10,0,deeplob_style,supervised,existing completed run reused,,False,skipped_existing,fold_3__h10__seed_0__lb50__deeplob_style__supervised
3,10,0,matrix_transformer,supervised,existing completed run reused,,False,skipped_existing,fold_3__h10__seed_0__lb100__supervised
3,10,0,deeplob_style,supervised,existing completed run reused,,False,skipped_existing,fold_3__h10__seed_0__lb100__deeplob_style__supervised
3,10,1,matrix_transformer,supervised,existing completed run reused,,False,skipped_existing,fold_3__h10__seed_1__lb20__supervised
3,10,1,deeplob_style,supervised,existing completed run reused,,False,skipped_existing,fold_3__h10__seed_1__lb20__deeplob_style__supervised
3,10,1,matrix_transformer,supervised,existing completed run reused,,False,skipped_existing,fold_3__h10__seed_1__lb50__supervised
3,10,1,deeplob_style,supervised,existing completed run reused,,False,skipped_existing,fold_3__h10__seed_1__lb50__deeplob_style__supervised
3,10,1,matrix_transformer,supervised,existing completed run reused,,False,skipped_existing,fold_3__h10__seed_1__lb100__supervised
3,10,1,deeplob_style,supervised,existing completed run reused,,False,skipped_existing,fold_3__h10__seed_1__lb100__deeplob_style__supervised
3,10,2,matrix_transformer,supervised,existing completed run reused,,False,skipped_existing,fold_3__h10__seed_2__lb20__supervised
3,10,2,deeplob_style,supervised,existing completed run reused,,False,skipped_existing,fold_3__h10__seed_2__lb20__deeplob_style__supervised
3,10,2,matrix_transformer,supervised,existing completed run reused,,False,skipped_existing,fold_3__h10__seed_2__lb50__supervised
3,10,2,deeplob_style,supervised,existing completed run reused,,False,skipped_existing,fold_3__h10__seed_2__lb50__deeplob_style__supervised
3,10,2,matrix_transformer,supervised,existing completed run reused,,False,skipped_existing,fold_3__h10__seed_2__lb100__supervised
3,10,2,deeplob_style,supervised,existing completed run reused,,False,skipped_existing,fold_3__h10__seed_2__lb100__deeplob_style__supervised
3,50,0,matrix_transformer,supervised,existing completed run reused,,False,skipped_existing,fold_3__h50__seed_0__lb20__supervised
3,50,0,deeplob_style,supervised,existing completed run reused,,False,skipped_existing,fold_3__h50__seed_0__lb20__deeplob_style__supervised
3,50,0,matrix_transformer,supervised,existing completed run reused,,False,skipped_existing,fold_3__h50__seed_0__lb50__supervised
3,50,0,deeplob_style,supervised,existing completed run reused,,False,skipped_existing,fold_3__h50__seed_0__lb50__deeplob_style__supervised
3,50,0,matrix_transformer,supervised,existing completed run reused,,False,skipped_existing,fold_3__h50__seed_0__lb100__supervised
3,50,0,deeplob_style,supervised,existing completed run reused,,False,skipped_existing,fold_3__h50__seed_0__lb100__deeplob_style__supervised
3,50,1,matrix_transformer,supervised,existing completed run reused,,False,skipped_existing,fold_3__h50__seed_1__lb20__supervised
3,50,1,deeplob_style,supervised,existing completed run reused,,False,skipped_existing,fold_3__h50__seed_1__lb20__deeplob_style__supervised
3,50,1,matrix_transformer,supervised,existing completed run reused,,False,skipped_existing,fold_3__h50__seed_1__lb50__supervised
3,50,1,deeplob_style,supervised,existing completed run reused,,False,skipped_existing,fold_3__h50__seed_1__lb50__deeplob_style__supervised
3,50,1,matrix_transformer,supervised,existing completed run reused,,False,skipped_existing,fold_3__h50__seed_1__lb100__supervised
3,50,1,deeplob_style,supervised,existing completed run reused,,False,skipped_existing,fold_3__h50__seed_1__lb100__deeplob_style__supervised
3,50,2,matrix_transformer,supervised,existing completed run reused,,False,skipped_existing,fold_3__h50__seed_2__lb20__supervised
3,50,2,deeplob_style,supervised,existing completed run reused,,False,skipped_existing,fold_3__h50__seed_2__lb20__deeplob_style__supervised
3,50,2,matrix_transformer,supervised,existing completed run reused,,False,skipped_existing,fold_3__h50__seed_2__lb50__supervised
3,50,2,deeplob_style,supervised,existing completed run reused,,False,skipped_existing,fold_3__h50__seed_2__lb50__deeplob_style__supervised
3,50,2,matrix_transformer,supervised,existing completed run reused,,False,skipped_existing,fold_3__h50__seed_2__lb100__supervised
3,50,2,deeplob_style,supervised,existing completed run reused,,False,skipped_existing,fold_3__h50__seed_2__lb100__deeplob_style__supervised
4,10,0,matrix_transformer,supervised,existing completed run reused,,False,skipped_existing,fold_4__h10__seed_0__lb20__supervised
4,10,0,deeplob_style,supervised,existing completed run reused,,False,skipped_existing,fold_4__h10__seed_0__lb20__deeplob_style__supervised
4,10,0,matrix_transformer,supervised,existing completed run reused,,False,skipped_existing,fold_4__h10__seed_0__lb50__supervised
4,10,0,deeplob_style,supervised,existing completed run reused,,False,skipped_existing,fold_4__h10__seed_0__lb50__deeplob_style__supervised
4,10,0,matrix_transformer,supervised,existing completed run reused,,False,skipped_existing,fold_4__h10__seed_0__lb100__supervised
4,10,0,deeplob_style,supervised,existing completed run reused,,False,skipped_existing,fold_4__h10__seed_0__lb100__deeplob_style__supervised
4,10,1,matrix_transformer,supervised,existing completed run reused,,False,skipped_existing,fold_4__h10__seed_1__lb20__supervised
4,10,1,deeplob_style,supervised,existing completed run reused,,False,skipped_existing,fold_4__h10__seed_1__lb20__deeplob_style__supervised
4,10,1,matrix_transformer,supervised,existing completed run reused,,False,skipped_existing,fold_4__h10__seed_1__lb50__supervised
4,10,1,deeplob_style,supervised,existing completed run reused,,False,skipped_existing,fold_4__h10__seed_1__lb50__deeplob_style__supervised
4,10,1,matrix_transformer,supervised,existing completed run reused,,False,skipped_existing,fold_4__h10__seed_1__lb100__supervised
4,10,1,deeplob_style,supervised,existing completed run reused,,False,skipped_existing,fold_4__h10__seed_1__lb100__deeplob_style__supervised
4,10,2,matrix_transformer,supervised,existing completed run reused,,False,skipped_existing,fold_4__h10__seed_2__lb20__supervised
4,10,2,deeplob_style,supervised,existing completed run reused,,False,skipped_existing,fold_4__h10__seed_2__lb20__deeplob_style__supervised
4,10,2,matrix_transformer,supervised,existing completed run reused,,False,skipped_existing,fold_4__h10__seed_2__lb50__supervised
4,10,2,deeplob_style,supervised,existing completed run reused,,False,skipped_existing,fold_4__h10__seed_2__lb50__deeplob_style__supervised
4,10,2,matrix_transformer,supervised,existing completed run reused,,False,skipped_existing,fold_4__h10__seed_2__lb100__supervised
4,10,2,deeplob_style,supervised,existing completed run reused,,False,skipped_existing,fold_4__h10__seed_2__lb100__deeplob_style__supervised
4,50,0,matrix_transformer,supervised,existing completed run reused,,False,skipped_existing,fold_4__h50__seed_0__lb20__supervised
4,50,0,deeplob_style,supervised,existing completed run reused,,False,skipped_existing,fold_4__h50__seed_0__lb20__deeplob_style__supervised
4,50,0,matrix_transformer,supervised,existing completed run reused,,False,skipped_existing,fold_4__h50__seed_0__lb50__supervised
4,50,0,deeplob_style,supervised,existing completed run reused,,False,skipped_existing,fold_4__h50__seed_0__lb50__deeplob_style__supervised
4,50,0,matrix_transformer,supervised,existing completed run reused,,False,skipped_existing,fold_4__h50__seed_0__lb100__supervised
4,50,0,deeplob_style,supervised,existing completed run reused,,False,skipped_existing,fold_4__h50__seed_0__lb100__deeplob_style__supervised
4,50,1,matrix_transformer,supervised,existing completed run reused,,False,skipped_existing,fold_4__h50__seed_1__lb20__supervised
4,50,1,deeplob_style,supervised,existing completed run reused,,False,skipped_existing,fold_4__h50__seed_1__lb20__deeplob_style__supervised
4,50,1,matrix_transformer,supervised,existing completed run reused,,False,skipped_existing,fold_4__h50__seed_1__lb50__supervised
4,50,1,deeplob_style,supervised,existing completed run reused,,False,skipped_existing,fold_4__h50__seed_1__lb50__deeplob_style__supervised
4,50,1,matrix_transformer,supervised,existing completed run reused,,False,skipped_existing,fold_4__h50__seed_1__lb100__supervised
4,50,1,deeplob_style,supervised,existing completed run reused,,False,skipped_existing,fold_4__h50__seed_1__lb100__deeplob_style__supervised
4,50,2,matrix_transformer,supervised,existing completed run reused,,False,skipped_existing,fold_4__h50__seed_2__lb20__supervised
4,50,2,deeplob_style,supervised,existing completed run reused,,False,skipped_existing,fold_4__h50__seed_2__lb20__deeplob_style__supervised
4,50,2,matrix_transformer,supervised,existing completed run reused,,False,skipped_existing,fold_4__h50__seed_2__lb50__supervised
4,50,2,deeplob_style,supervised,existing completed run reused,,False,skipped_existing,fold_4__h50__seed_2__lb50__deeplob_style__supervised
4,50,2,matrix_transformer,supervised,existing completed run reused,,False,skipped_existing,fold_4__h50__seed_2__lb100__supervised
4,50,2,deeplob_style,supervised,existing completed run reused,,False,skipped_existing,fold_4__h50__seed_2__lb100__deeplob_style__supervised
5,10,0,matrix_transformer,supervised,existing completed run reused,,False,skipped_existing,fold_5__h10__seed_0__lb20__supervised
5,10,0,deeplob_style,supervised,existing completed run reused,,False,skipped_existing,fold_5__h10__seed_0__lb20__deeplob_style__supervised
5,10,0,matrix_transformer,supervised,existing completed run reused,,False,skipped_existing,fold_5__h10__seed_0__lb50__supervised
5,10,0,deeplob_style,supervised,existing completed run reused,,False,skipped_existing,fold_5__h10__seed_0__lb50__deeplob_style__supervised
5,10,0,matrix_transformer,supervised,existing completed run reused,,False,skipped_existing,fold_5__h10__seed_0__lb100__supervised
5,10,0,deeplob_style,supervised,existing completed run reused,,False,skipped_existing,fold_5__h10__seed_0__lb100__deeplob_style__supervised
5,10,1,matrix_transformer,supervised,existing completed run reused,,False,skipped_existing,fold_5__h10__seed_1__lb20__supervised
5,10,1,deeplob_style,supervised,existing completed run reused,,False,skipped_existing,fold_5__h10__seed_1__lb20__deeplob_style__supervised
5,10,1,matrix_transformer,supervised,existing completed run reused,,False,skipped_existing,fold_5__h10__seed_1__lb50__supervised
5,10,1,deeplob_style,supervised,existing completed run reused,,False,skipped_existing,fold_5__h10__seed_1__lb50__deeplob_style__supervised
5,10,1,matrix_transformer,supervised,existing completed run reused,,False,skipped_existing,fold_5__h10__seed_1__lb100__supervised
5,10,1,deeplob_style,supervised,existing completed run reused,,False,skipped_existing,fold_5__h10__seed_1__lb100__deeplob_style__supervised
5,10,2,matrix_transformer,supervised,existing completed run reused,,False,skipped_existing,fold_5__h10__seed_2__lb20__supervised
5,10,2,deeplob_style,supervised,existing completed run reused,,False,skipped_existing,fold_5__h10__seed_2__lb20__deeplob_style__supervised
5,10,2,matrix_transformer,supervised,existing completed run reused,,False,skipped_existing,fold_5__h10__seed_2__lb50__supervised
5,10,2,deeplob_style,supervised,existing completed run reused,,False,skipped_existing,fold_5__h10__seed_2__lb50__deeplob_style__supervised
5,10,2,matrix_transformer,supervised,existing completed run reused,,False,skipped_existing,fold_5__h10__seed_2__lb100__supervised
5,10,2,deeplob_style,supervised,existing completed run reused,,False,skipped_existing,fold_5__h10__seed_2__lb100__deeplob_style__supervised
5,50,0,matrix_transformer,supervised,existing completed run reused,,False,skipped_existing,fold_5__h50__seed_0__lb20__supervised
5,50,0,deeplob_style,supervised,existing completed run reused,,False,skipped_existing,fold_5__h50__seed_0__lb20__deeplob_style__supervised
5,50,0,matrix_transformer,supervised,existing completed run reused,,False,skipped_existing,fold_5__h50__seed_0__lb50__supervised
5,50,0,deeplob_style,supervised,existing completed run reused,,False,skipped_existing,fold_5__h50__seed_0__lb50__deeplob_style__supervised
5,50,0,matrix_transformer,supervised,existing completed run reused,,False,skipped_existing,fold_5__h50__seed_0__lb100__supervised
5,50,0,deeplob_style,supervised,existing completed run reused,,False,skipped_existing,fold_5__h50__seed_0__lb100__deeplob_style__supervised
5,50,1,matrix_transformer,supervised,existing completed run reused,,False,skipped_existing,fold_5__h50__seed_1__lb20__supervised
5,50,1,deeplob_style,supervised,existing completed run reused,,False,skipped_existing,fold_5__h50__seed_1__lb20__deeplob_style__supervised
5,50,1,matrix_transformer,supervised,existing completed run reused,,False,skipped_existing,fold_5__h50__seed_1__lb50__supervised
5,50,1,deeplob_style,supervised,existing completed run reused,,False,skipped_existing,fold_5__h50__seed_1__lb50__deeplob_style__supervised
5,50,1,matrix_transformer,supervised,existing completed run reused,,False,skipped_existing,fold_5__h50__seed_1__lb100__supervised
5,50,1,deeplob_style,supervised,existing completed run reused,,False,skipped_existing,fold_5__h50__seed_1__lb100__deeplob_style__supervised
5,50,2,matrix_transformer,supervised,existing completed run reused,,False,skipped_existing,fold_5__h50__seed_2__lb20__supervised
5,50,2,deeplob_style,supervised,existing completed run reused,,False,skipped_existing,fold_5__h50__seed_2__lb20__deeplob_style__supervised
5,50,2,matrix_transformer,supervised,existing completed run reused,,False,skipped_existing,fold_5__h50__seed_2__lb50__supervised
5,50,2,deeplob_style,supervised,existing completed run reused,,False,skipped_existing,fold_5__h50__seed_2__lb50__deeplob_style__supervised
5,50,2,matrix_transformer,supervised,existing completed run reused,,False,skipped_existing,fold_5__h50__seed_2__lb100__supervised
5,50,2,deeplob_style,supervised,existing completed run reused,,False,skipped_existing,fold_5__h50__seed_2__lb100__deeplob_style__supervised
