run_id,fold,fold_id,horizon,seed,lookback,model_family,objective,pretraining_objective,run_dir
fold_2__h10__seed_0__lb20__next_field,2,fold_2,10,0,20,matrix_transformer,next_field,next_field,runs/fold_2/horizon_10/seed_0/lookback_20/next_field
fold_2__h10__seed_1__lb20__supervised,2,fold_2,10,1,20,matrix_transformer,supervised,none,runs/fold_2/horizon_10/seed_1/lookback_20/supervised
fold_2__h10__seed_1__lb20__masked_reconstruction,2,fold_2,10,1,20,matrix_transformer,masked_reconstruction,masked_reconstruction,runs/fold_2/horizon_10/seed_1/lookback_20/masked_reconstruction
fold_2__h10__seed_1__lb20__next_field,2,fold_2,10,1,20,matrix_transformer,next_field,next_field,runs/fold_2/horizon_10/seed_1/lookback_20/next_field
fold_2__h10__seed_2__lb20__supervised,2,fold_2,10,2,20,matrix_transformer,supervised,none,runs/fold_2/horizon_10/seed_2/lookback_20/supervised
fold_2__h10__seed_2__lb20__masked_reconstruction,2,fold_2,10,2,20,matrix_transformer,masked_reconstruction,masked_reconstruction,runs/fold_2/horizon_10/seed_2/lookback_20/masked_reconstruction
fold_2__h10__seed_2__lb20__next_field,2,fold_2,10,2,20,matrix_transformer,next_field,next_field,runs/fold_2/horizon_10/seed_2/lookback_20/next_field
fold_2__h20__seed_0__lb20__supervised,2,fold_2,20,0,20,matrix_transformer,supervised,none,runs/fold_2/horizon_20/seed_0/lookback_20/supervised
fold_2__h20__seed_0__lb20__masked_reconstruction,2,fold_2,20,0,20,matrix_transformer,masked_reconstruction,masked_reconstruction,runs/fold_2/horizon_20/seed_0/lookback_20/masked_reconstruction
fold_2__h20__seed_0__lb20__next_field,2,fold_2,20,0,20,matrix_transformer,next_field,next_field,runs/fold_2/horizon_20/seed_0/lookback_20/next_field
fold_2__h20__seed_1__lb20__supervised,2,fold_2,20,1,20,matrix_transformer,supervised,none,runs/fold_2/horizon_20/seed_1/lookback_20/supervised
fold_2__h20__seed_1__lb20__masked_reconstruction,2,fold_2,20,1,20,matrix_transformer,masked_reconstruction,masked_reconstruction,runs/fold_2/horizon_20/seed_1/lookback_20/masked_reconstruction
fold_2__h20__seed_1__lb20__next_field,2,fold_2,20,1,20,matrix_transformer,next_field,next_field,runs/fold_2/horizon_20/seed_1/lookback_20/next_field
fold_2__h20__seed_2__lb20__supervised,2,fold_2,20,2,20,matrix_transformer,supervised,none,runs/fold_2/horizon_20/seed_2/lookback_20/supervised
fold_2__h20__seed_2__lb20__masked_reconstruction,2,fold_2,20,2,20,matrix_transformer,masked_reconstruction,masked_reconstruction,runs/fold_2/horizon_20/seed_2/lookback_20/masked_reconstruction
fold_2__h20__seed_2__lb20__next_field,2,fold_2,20,2,20,matrix_transformer,next_field,next_field,runs/fold_2/horizon_20/seed_2/lookback_20/next_field
fold_2__h50__seed_0__lb20__supervised,2,fold_2,50,0,20,matrix_transformer,supervised,none,runs/fold_2/horizon_50/seed_0/lookback_20/supervised
fold_2__h50__seed_0__lb20__masked_reconstruction,2,fold_2,50,0,20,matrix_transformer,masked_reconstruction,masked_reconstruction,runs/fold_2/horizon_50/seed_0/lookback_20/masked_reconstruction
fold_2__h50__seed_0__lb20__next_field,2,fold_2,50,0,20,matrix_transformer,next_field,next_field,runs/fold_2/horizon_50/seed_0/lookback_20/next_field
fold_2__h50__seed_1__lb20__supervised,2,fold_2,50,1,20,matrix_transformer,supervised,none,runs/fold_2/horizon_50/seed_1/lookback_20/supervised
fold_2__h50__seed_1__lb20__masked_reconstruction,2,fold_2,50,1,20,matrix_transformer,masked_reconstruction,masked_reconstruction,runs/fold_2/horizon_50/seed_1/lookback_20/masked_reconstruction
fold_2__h50__seed_1__lb20__next_field,2,fold_2,50,1,20,matrix_transformer,next_field,next_field,runs/fold_2/horizon_50/seed_1/lookback_20/next_field
fold_2__h50__seed_2__lb20__supervised,2,fold_2,50,2,20,matrix_transformer,supervised,none,runs/fold_2/horizon_50/seed_2/lookback_20/supervised
fold_2__h50__seed_2__lb20__masked_reconstruction,2,fold_2,50,2,20,matrix_transformer,masked_reconstruction,masked_reconstruction,runs/fold_2/horizon_50/seed_2/lookback_20/masked_reconstruction
fold_2__h50__seed_2__lb20__next_field,2,fold_2,50,2,20,matrix_transformer,next_field,next_field,runs/fold_2/horizon_50/seed_2/lookback_20/next_field
fold_3__h10__seed_0__lb20__supervised,3,fold_3,10,0,20,matrix_transformer,supervised,none,runs/fold_3/horizon_10/seed_0/lookback_20/supervised
fold_3__h10__seed_0__lb20__masked_reconstruction,3,fold_3,10,0,20,matrix_transformer,masked_reconstruction,masked_reconstruction,runs/fold_3/horizon_10/seed_0/lookback_20/masked_reconstruction
fold_3__h10__seed_0__lb20__next_field,3,fold_3,10,0,20,matrix_transformer,next_field,next_field,runs/fold_3/horizon_10/seed_0/lookback_20/next_field
fold_3__h10__seed_1__lb20__supervised,3,fold_3,10,1,20,matrix_transformer,supervised,none,runs/fold_3/horizon_10/seed_1/lookback_20/supervised
fold_3__h10__seed_1__lb20__masked_reconstruction,3,fold_3,10,1,20,matrix_transformer,masked_reconstruction,masked_reconstruction,runs/fold_3/horizon_10/seed_1/lookback_20/masked_reconstruction
fold_3__h10__seed_1__lb20__next_field,3,fold_3,10,1,20,matrix_transformer,next_field,next_field,runs/fold_3/horizon_10/seed_1/lookback_20/next_field
fold_3__h10__seed_2__lb20__supervised,3,fold_3,10,2,20,matrix_transformer,supervised,none,runs/fold_3/horizon_10/seed_2/lookback_20/supervised
fold_3__h10__seed_2__lb20__masked_reconstruction,3,fold_3,10,2,20,matrix_transformer,masked_reconstruction,masked_reconstruction,runs/fold_3/horizon_10/seed_2/lookback_20/masked_reconstruction
fold_3__h10__seed_2__lb20__next_field,3,fold_3,10,2,20,matrix_transformer,next_field,next_field,runs/fold_3/horizon_10/seed_2/lookback_20/next_field
fold_3__h20__seed_0__lb20__supervised,3,fold_3,20,0,20,matrix_transformer,supervised,none,runs/fold_3/horizon_20/seed_0/lookback_20/supervised
fold_3__h20__seed_0__lb20__masked_reconstruction,3,fold_3,20,0,20,matrix_transformer,masked_reconstruction,masked_reconstruction,runs/fold_3/horizon_20/seed_0/lookback_20/masked_reconstruction
fold_3__h20__seed_0__lb20__next_field,3,fold_3,20,0,20,matrix_transformer,next_field,next_field,runs/fold_3/horizon_20/seed_0/lookback_20/next_field
fold_3__h20__seed_1__lb20__supervised,3,fold_3,20,1,20,matrix_transformer,supervised,none,runs/fold_3/horizon_20/seed_1/lookback_20/supervised
fold_3__h20__seed_1__lb20__masked_reconstruction,3,fold_3,20,1,20,matrix_transformer,masked_reconstruction,masked_reconstruction,runs/fold_3/horizon_20/seed_1/lookback_20/masked_reconstruction
fold_3__h20__seed_1__lb20__next_field,3,fold_3,20,1,20,matrix_transformer,next_field,next_field,runs/fold_3/horizon_20/seed_1/lookback_20/next_field
fold_3__h20__seed_2__lb20__supervised,3,fold_3,20,2,20,matrix_transformer,supervised,none,runs/fold_3/horizon_20/seed_2/lookback_20/supervised
fold_3__h20__seed_2__lb20__masked_reconstruction,3,fold_3,20,2,20,matrix_transformer,masked_reconstruction,masked_reconstruction,runs/fold_3/horizon_20/seed_2/lookback_20/masked_reconstruction
fold_3__h20__seed_2__lb20__next_field,3,fold_3,20,2,20,matrix_transformer,next_field,next_field,runs/fold_3/horizon_20/seed_2/lookback_20/next_field
fold_3__h50__seed_0__lb20__supervised,3,fold_3,50,0,20,matrix_transformer,supervised,none,runs/fold_3/horizon_50/seed_0/lookback_20/supervised
fold_3__h50__seed_0__lb20__masked_reconstruction,3,fold_3,50,0,20,matrix_transformer,masked_reconstruction,masked_reconstruction,runs/fold_3/horizon_50/seed_0/lookback_20/masked_reconstruction
fold_3__h50__seed_0__lb20__next_field,3,fold_3,50,0,20,matrix_transformer,next_field,next_field,runs/fold_3/horizon_50/seed_0/lookback_20/next_field
fold_3__h50__seed_1__lb20__supervised,3,fold_3,50,1,20,matrix_transformer,supervised,none,runs/fold_3/horizon_50/seed_1/lookback_20/supervised
fold_3__h50__seed_1__lb20__masked_reconstruction,3,fold_3,50,1,20,matrix_transformer,masked_reconstruction,masked_reconstruction,runs/fold_3/horizon_50/seed_1/lookback_20/masked_reconstruction
fold_3__h50__seed_1__lb20__next_field,3,fold_3,50,1,20,matrix_transformer,next_field,next_field,runs/fold_3/horizon_50/seed_1/lookback_20/next_field
fold_3__h50__seed_2__lb20__supervised,3,fold_3,50,2,20,matrix_transformer,supervised,none,runs/fold_3/horizon_50/seed_2/lookback_20/supervised
fold_3__h50__seed_2__lb20__masked_reconstruction,3,fold_3,50,2,20,matrix_transformer,masked_reconstruction,masked_reconstruction,runs/fold_3/horizon_50/seed_2/lookback_20/masked_reconstruction
fold_3__h50__seed_2__lb20__next_field,3,fold_3,50,2,20,matrix_transformer,next_field,next_field,runs/fold_3/horizon_50/seed_2/lookback_20/next_field
fold_4__h10__seed_0__lb20__supervised,4,fold_4,10,0,20,matrix_transformer,supervised,none,runs/fold_4/horizon_10/seed_0/lookback_20/supervised
fold_4__h10__seed_0__lb20__masked_reconstruction,4,fold_4,10,0,20,matrix_transformer,masked_reconstruction,masked_reconstruction,runs/fold_4/horizon_10/seed_0/lookback_20/masked_reconstruction
fold_4__h10__seed_0__lb20__next_field,4,fold_4,10,0,20,matrix_transformer,next_field,next_field,runs/fold_4/horizon_10/seed_0/lookback_20/next_field
fold_4__h10__seed_1__lb20__supervised,4,fold_4,10,1,20,matrix_transformer,supervised,none,runs/fold_4/horizon_10/seed_1/lookback_20/supervised
fold_4__h10__seed_1__lb20__masked_reconstruction,4,fold_4,10,1,20,matrix_transformer,masked_reconstruction,masked_reconstruction,runs/fold_4/horizon_10/seed_1/lookback_20/masked_reconstruction
fold_4__h10__seed_1__lb20__next_field,4,fold_4,10,1,20,matrix_transformer,next_field,next_field,runs/fold_4/horizon_10/seed_1/lookback_20/next_field
fold_4__h10__seed_2__lb20__supervised,4,fold_4,10,2,20,matrix_transformer,supervised,none,runs/fold_4/horizon_10/seed_2/lookback_20/supervised
fold_4__h10__seed_2__lb20__masked_reconstruction,4,fold_4,10,2,20,matrix_transformer,masked_reconstruction,masked_reconstruction,runs/fold_4/horizon_10/seed_2/lookback_20/masked_reconstruction
fold_4__h10__seed_2__lb20__next_field,4,fold_4,10,2,20,matrix_transformer,next_field,next_field,runs/fold_4/horizon_10/seed_2/lookback_20/next_field
fold_4__h20__seed_0__lb20__supervised,4,fold_4,20,0,20,matrix_transformer,supervised,none,runs/fold_4/horizon_20/seed_0/lookback_20/supervised
fold_4__h20__seed_0__lb20__masked_reconstruction,4,fold_4,20,0,20,matrix_transformer,masked_reconstruction,masked_reconstruction,runs/fold_4/horizon_20/seed_0/lookback_20/masked_reconstruction
fold_4__h20__seed_0__lb20__next_field,4,fold_4,20,0,20,matrix_transformer,next_field,next_field,runs/fold_4/horizon_20/seed_0/lookback_20/next_field
fold_4__h20__seed_1__lb20__supervised,4,fold_4,20,1,20,matrix_transformer,supervised,none,runs/fold_4/horizon_20/seed_1/lookback_20/supervised
fold_4__h20__seed_1__lb20__masked_reconstruction,4,fold_4,20,1,20,matrix_transformer,masked_reconstruction,masked_reconstruction,runs/fold_4/horizon_20/seed_1/lookback_20/masked_reconstruction
fold_4__h20__seed_1__lb20__next_field,4,fold_4,20,1,20,matrix_transformer,next_field,next_field,runs/fold_4/horizon_20/seed_1/lookback_20/next_field
fold_4__h20__seed_2__lb20__supervised,4,fold_4,20,2,20,matrix_transformer,supervised,none,runs/fold_4/horizon_20/seed_2/lookback_20/supervised
fold_4__h20__seed_2__lb20__masked_reconstruction,4,fold_4,20,2,20,matrix_transformer,masked_reconstruction,masked_reconstruction,runs/fold_4/horizon_20/seed_2/lookback_20/masked_reconstruction
fold_4__h20__seed_2__lb20__next_field,4,fold_4,20,2,20,matrix_transformer,next_field,next_field,runs/fold_4/horizon_20/seed_2/lookback_20/next_field
fold_4__h50__seed_0__lb20__supervised,4,fold_4,50,0,20,matrix_transformer,supervised,none,runs/fold_4/horizon_50/seed_0/lookback_20/supervised
fold_4__h50__seed_0__lb20__masked_reconstruction,4,fold_4,50,0,20,matrix_transformer,masked_reconstruction,masked_reconstruction,runs/fold_4/horizon_50/seed_0/lookback_20/masked_reconstruction
fold_4__h50__seed_0__lb20__next_field,4,fold_4,50,0,20,matrix_transformer,next_field,next_field,runs/fold_4/horizon_50/seed_0/lookback_20/next_field
fold_4__h50__seed_1__lb20__supervised,4,fold_4,50,1,20,matrix_transformer,supervised,none,runs/fold_4/horizon_50/seed_1/lookback_20/supervised
fold_4__h50__seed_1__lb20__masked_reconstruction,4,fold_4,50,1,20,matrix_transformer,masked_reconstruction,masked_reconstruction,runs/fold_4/horizon_50/seed_1/lookback_20/masked_reconstruction
fold_4__h50__seed_1__lb20__next_field,4,fold_4,50,1,20,matrix_transformer,next_field,next_field,runs/fold_4/horizon_50/seed_1/lookback_20/next_field
fold_4__h50__seed_2__lb20__supervised,4,fold_4,50,2,20,matrix_transformer,supervised,none,runs/fold_4/horizon_50/seed_2/lookback_20/supervised
fold_4__h50__seed_2__lb20__masked_reconstruction,4,fold_4,50,2,20,matrix_transformer,masked_reconstruction,masked_reconstruction,runs/fold_4/horizon_50/seed_2/lookback_20/masked_reconstruction
fold_4__h50__seed_2__lb20__next_field,4,fold_4,50,2,20,matrix_transformer,next_field,next_field,runs/fold_4/horizon_50/seed_2/lookback_20/next_field
fold_5__h10__seed_0__lb20__supervised,5,fold_5,10,0,20,matrix_transformer,supervised,none,runs/fold_5/horizon_10/seed_0/lookback_20/supervised
fold_5__h10__seed_0__lb20__masked_reconstruction,5,fold_5,10,0,20,matrix_transformer,masked_reconstruction,masked_reconstruction,runs/fold_5/horizon_10/seed_0/lookback_20/masked_reconstruction
fold_5__h10__seed_0__lb20__next_field,5,fold_5,10,0,20,matrix_transformer,next_field,next_field,runs/fold_5/horizon_10/seed_0/lookback_20/next_field
fold_5__h10__seed_1__lb20__supervised,5,fold_5,10,1,20,matrix_transformer,supervised,none,runs/fold_5/horizon_10/seed_1/lookback_20/supervised
fold_5__h10__seed_1__lb20__masked_reconstruction,5,fold_5,10,1,20,matrix_transformer,masked_reconstruction,masked_reconstruction,runs/fold_5/horizon_10/seed_1/lookback_20/masked_reconstruction
fold_5__h10__seed_1__lb20__next_field,5,fold_5,10,1,20,matrix_transformer,next_field,next_field,runs/fold_5/horizon_10/seed_1/lookback_20/next_field
fold_5__h10__seed_2__lb20__supervised,5,fold_5,10,2,20,matrix_transformer,supervised,none,runs/fold_5/horizon_10/seed_2/lookback_20/supervised
fold_5__h10__seed_2__lb20__masked_reconstruction,5,fold_5,10,2,20,matrix_transformer,masked_reconstruction,masked_reconstruction,runs/fold_5/horizon_10/seed_2/lookback_20/masked_reconstruction
fold_5__h10__seed_2__lb20__next_field,5,fold_5,10,2,20,matrix_transformer,next_field,next_field,runs/fold_5/horizon_10/seed_2/lookback_20/next_field
fold_5__h20__seed_0__lb20__supervised,5,fold_5,20,0,20,matrix_transformer,supervised,none,runs/fold_5/horizon_20/seed_0/lookback_20/supervised
fold_5__h20__seed_0__lb20__masked_reconstruction,5,fold_5,20,0,20,matrix_transformer,masked_reconstruction,masked_reconstruction,runs/fold_5/horizon_20/seed_0/lookback_20/masked_reconstruction
fold_5__h20__seed_0__lb20__next_field,5,fold_5,20,0,20,matrix_transformer,next_field,next_field,runs/fold_5/horizon_20/seed_0/lookback_20/next_field
fold_5__h20__seed_1__lb20__supervised,5,fold_5,20,1,20,matrix_transformer,supervised,none,runs/fold_5/horizon_20/seed_1/lookback_20/supervised
fold_5__h20__seed_1__lb20__masked_reconstruction,5,fold_5,20,1,20,matrix_transformer,masked_reconstruction,masked_reconstruction,runs/fold_5/horizon_20/seed_1/lookback_20/masked_reconstruction
fold_5__h20__seed_1__lb20__next_field,5,fold_5,20,1,20,matrix_transformer,next_field,next_field,runs/fold_5/horizon_20/seed_1/lookback_20/next_field
fold_5__h20__seed_2__lb20__supervised,5,fold_5,20,2,20,matrix_transformer,supervised,none,runs/fold_5/horizon_20/seed_2/lookback_20/supervised
fold_5__h20__seed_2__lb20__masked_reconstruction,5,fold_5,20,2,20,matrix_transformer,masked_reconstruction,masked_reconstruction,runs/fold_5/horizon_20/seed_2/lookback_20/masked_reconstruction
fold_5__h20__seed_2__lb20__next_field,5,fold_5,20,2,20,matrix_transformer,next_field,next_field,runs/fold_5/horizon_20/seed_2/lookback_20/next_field
fold_5__h50__seed_0__lb20__supervised,5,fold_5,50,0,20,matrix_transformer,supervised,none,runs/fold_5/horizon_50/seed_0/lookback_20/supervised
fold_5__h50__seed_0__lb20__masked_reconstruction,5,fold_5,50,0,20,matrix_transformer,masked_reconstruction,masked_reconstruction,runs/fold_5/horizon_50/seed_0/lookback_20/masked_reconstruction
fold_5__h50__seed_0__lb20__next_field,5,fold_5,50,0,20,matrix_transformer,next_field,next_field,runs/fold_5/horizon_50/seed_0/lookback_20/next_field
fold_5__h50__seed_1__lb20__supervised,5,fold_5,50,1,20,matrix_transformer,supervised,none,runs/fold_5/horizon_50/seed_1/lookback_20/supervised
fold_5__h50__seed_1__lb20__masked_reconstruction,5,fold_5,50,1,20,matrix_transformer,masked_reconstruction,masked_reconstruction,runs/fold_5/horizon_50/seed_1/lookback_20/masked_reconstruction
fold_5__h50__seed_1__lb20__next_field,5,fold_5,50,1,20,matrix_transformer,next_field,next_field,runs/fold_5/horizon_50/seed_1/lookback_20/next_field
fold_5__h50__seed_2__lb20__supervised,5,fold_5,50,2,20,matrix_transformer,supervised,none,runs/fold_5/horizon_50/seed_2/lookback_20/supervised
fold_5__h50__seed_2__lb20__masked_reconstruction,5,fold_5,50,2,20,matrix_transformer,masked_reconstruction,masked_reconstruction,runs/fold_5/horizon_50/seed_2/lookback_20/masked_reconstruction
fold_5__h50__seed_2__lb20__next_field,5,fold_5,50,2,20,matrix_transformer,next_field,next_field,runs/fold_5/horizon_50/seed_2/lookback_20/next_field
