fold,horizon,seed,model,ablation_mode,feature_group,delta_macro_f1,delta_mcc,macro_f1_degraded_when_removed,mcc_degraded_when_removed,horizon_beyond_10,proxy_scope_note
fold_2,10,2,logistic,remove_one_group,snapshot_order_flow_proxy,-0.2727461510842702,-0.4017437633513078,True,True,False,snapshot_order_flow_proxy is a labelled snapshot proxy derived from FI-2010 matrices. It should not be interpreted as true event-level order-flow imbalance.
fold_3,10,0,logistic,remove_one_group,snapshot_order_flow_proxy,-0.3736603299830704,-0.4684585049578846,True,True,False,snapshot_order_flow_proxy is a labelled snapshot proxy derived from FI-2010 matrices. It should not be interpreted as true event-level order-flow imbalance.
fold_3,10,1,logistic,remove_one_group,snapshot_order_flow_proxy,-0.3736603299830704,-0.4684585049578846,True,True,False,snapshot_order_flow_proxy is a labelled snapshot proxy derived from FI-2010 matrices. It should not be interpreted as true event-level order-flow imbalance.
fold_3,10,2,logistic,remove_one_group,snapshot_order_flow_proxy,-0.3736603299830704,-0.4684585049578846,True,True,False,snapshot_order_flow_proxy is a labelled snapshot proxy derived from FI-2010 matrices. It should not be interpreted as true event-level order-flow imbalance.
fold_4,10,0,logistic,remove_one_group,snapshot_order_flow_proxy,-0.4360896882139501,-0.5313681402351562,True,True,False,snapshot_order_flow_proxy is a labelled snapshot proxy derived from FI-2010 matrices. It should not be interpreted as true event-level order-flow imbalance.
fold_4,10,1,logistic,remove_one_group,snapshot_order_flow_proxy,-0.4360896882139501,-0.5313681402351562,True,True,False,snapshot_order_flow_proxy is a labelled snapshot proxy derived from FI-2010 matrices. It should not be interpreted as true event-level order-flow imbalance.
fold_4,10,2,logistic,remove_one_group,snapshot_order_flow_proxy,-0.4360896882139501,-0.5313681402351562,True,True,False,snapshot_order_flow_proxy is a labelled snapshot proxy derived from FI-2010 matrices. It should not be interpreted as true event-level order-flow imbalance.
fold_5,10,0,logistic,remove_one_group,snapshot_order_flow_proxy,-0.4536264559868277,-0.5535080441532203,True,True,False,snapshot_order_flow_proxy is a labelled snapshot proxy derived from FI-2010 matrices. It should not be interpreted as true event-level order-flow imbalance.
fold_5,10,1,logistic,remove_one_group,snapshot_order_flow_proxy,-0.4536264559868277,-0.5535080441532203,True,True,False,snapshot_order_flow_proxy is a labelled snapshot proxy derived from FI-2010 matrices. It should not be interpreted as true event-level order-flow imbalance.
fold_5,10,2,logistic,remove_one_group,snapshot_order_flow_proxy,-0.4536264559868277,-0.5535080441532203,True,True,False,snapshot_order_flow_proxy is a labelled snapshot proxy derived from FI-2010 matrices. It should not be interpreted as true event-level order-flow imbalance.
fold_1,10,0,ridge,remove_one_group,snapshot_order_flow_proxy,-0.0542291389835888,-0.0854278107914076,True,True,False,snapshot_order_flow_proxy is a labelled snapshot proxy derived from FI-2010 matrices. It should not be interpreted as true event-level order-flow imbalance.
fold_1,10,1,ridge,remove_one_group,snapshot_order_flow_proxy,-0.0542291389835888,-0.0854278107914076,True,True,False,snapshot_order_flow_proxy is a labelled snapshot proxy derived from FI-2010 matrices. It should not be interpreted as true event-level order-flow imbalance.
fold_1,10,2,ridge,remove_one_group,snapshot_order_flow_proxy,-0.0542291389835888,-0.0854278107914076,True,True,False,snapshot_order_flow_proxy is a labelled snapshot proxy derived from FI-2010 matrices. It should not be interpreted as true event-level order-flow imbalance.
fold_2,10,0,ridge,remove_one_group,snapshot_order_flow_proxy,-0.0568026315986318,-0.1240634403964079,True,True,False,snapshot_order_flow_proxy is a labelled snapshot proxy derived from FI-2010 matrices. It should not be interpreted as true event-level order-flow imbalance.
fold_2,10,1,ridge,remove_one_group,snapshot_order_flow_proxy,-0.0568026315986318,-0.1240634403964079,True,True,False,snapshot_order_flow_proxy is a labelled snapshot proxy derived from FI-2010 matrices. It should not be interpreted as true event-level order-flow imbalance.
fold_2,10,2,ridge,remove_one_group,snapshot_order_flow_proxy,-0.0568026315986318,-0.1240634403964079,True,True,False,snapshot_order_flow_proxy is a labelled snapshot proxy derived from FI-2010 matrices. It should not be interpreted as true event-level order-flow imbalance.
fold_3,10,0,ridge,remove_one_group,snapshot_order_flow_proxy,-0.052169632548662,-0.0912854393814162,True,True,False,snapshot_order_flow_proxy is a labelled snapshot proxy derived from FI-2010 matrices. It should not be interpreted as true event-level order-flow imbalance.
fold_3,10,1,ridge,remove_one_group,snapshot_order_flow_proxy,-0.052169632548662,-0.0912854393814162,True,True,False,snapshot_order_flow_proxy is a labelled snapshot proxy derived from FI-2010 matrices. It should not be interpreted as true event-level order-flow imbalance.
fold_3,10,2,ridge,remove_one_group,snapshot_order_flow_proxy,-0.052169632548662,-0.0912854393814162,True,True,False,snapshot_order_flow_proxy is a labelled snapshot proxy derived from FI-2010 matrices. It should not be interpreted as true event-level order-flow imbalance.
fold_4,10,0,ridge,remove_one_group,snapshot_order_flow_proxy,-0.0728708267091323,-0.1084903241964435,True,True,False,snapshot_order_flow_proxy is a labelled snapshot proxy derived from FI-2010 matrices. It should not be interpreted as true event-level order-flow imbalance.
fold_4,10,1,ridge,remove_one_group,snapshot_order_flow_proxy,-0.0728708267091323,-0.1084903241964435,True,True,False,snapshot_order_flow_proxy is a labelled snapshot proxy derived from FI-2010 matrices. It should not be interpreted as true event-level order-flow imbalance.
fold_4,10,2,ridge,remove_one_group,snapshot_order_flow_proxy,-0.0728708267091323,-0.1084903241964435,True,True,False,snapshot_order_flow_proxy is a labelled snapshot proxy derived from FI-2010 matrices. It should not be interpreted as true event-level order-flow imbalance.
fold_5,10,0,ridge,remove_one_group,snapshot_order_flow_proxy,-0.0525410652745366,-0.0819402994087962,True,True,False,snapshot_order_flow_proxy is a labelled snapshot proxy derived from FI-2010 matrices. It should not be interpreted as true event-level order-flow imbalance.
fold_5,10,1,ridge,remove_one_group,snapshot_order_flow_proxy,-0.0525410652745366,-0.0819402994087962,True,True,False,snapshot_order_flow_proxy is a labelled snapshot proxy derived from FI-2010 matrices. It should not be interpreted as true event-level order-flow imbalance.
fold_5,10,2,ridge,remove_one_group,snapshot_order_flow_proxy,-0.0525410652745366,-0.0819402994087962,True,True,False,snapshot_order_flow_proxy is a labelled snapshot proxy derived from FI-2010 matrices. It should not be interpreted as true event-level order-flow imbalance.
fold_1,20,0,logistic,remove_one_group,snapshot_order_flow_proxy,-0.1128201258542514,-0.1353615813965451,True,True,True,snapshot_order_flow_proxy is a labelled snapshot proxy derived from FI-2010 matrices. It should not be interpreted as true event-level order-flow imbalance.
fold_1,20,1,logistic,remove_one_group,snapshot_order_flow_proxy,-0.1128201258542514,-0.1353615813965451,True,True,True,snapshot_order_flow_proxy is a labelled snapshot proxy derived from FI-2010 matrices. It should not be interpreted as true event-level order-flow imbalance.
fold_1,20,2,logistic,remove_one_group,snapshot_order_flow_proxy,-0.1128201258542514,-0.1353615813965451,True,True,True,snapshot_order_flow_proxy is a labelled snapshot proxy derived from FI-2010 matrices. It should not be interpreted as true event-level order-flow imbalance.
fold_2,20,0,logistic,remove_one_group,snapshot_order_flow_proxy,-0.240063106663656,-0.3322932039795016,True,True,True,snapshot_order_flow_proxy is a labelled snapshot proxy derived from FI-2010 matrices. It should not be interpreted as true event-level order-flow imbalance.
fold_2,20,1,logistic,remove_one_group,snapshot_order_flow_proxy,-0.240063106663656,-0.3322932039795016,True,True,True,snapshot_order_flow_proxy is a labelled snapshot proxy derived from FI-2010 matrices. It should not be interpreted as true event-level order-flow imbalance.
fold_2,20,2,logistic,remove_one_group,snapshot_order_flow_proxy,-0.240063106663656,-0.3322932039795016,True,True,True,snapshot_order_flow_proxy is a labelled snapshot proxy derived from FI-2010 matrices. It should not be interpreted as true event-level order-flow imbalance.
fold_3,20,0,logistic,remove_one_group,snapshot_order_flow_proxy,-0.3204942496810413,-0.3968592635825468,True,True,True,snapshot_order_flow_proxy is a labelled snapshot proxy derived from FI-2010 matrices. It should not be interpreted as true event-level order-flow imbalance.
fold_3,20,1,logistic,remove_one_group,snapshot_order_flow_proxy,-0.3204942496810413,-0.3968592635825468,True,True,True,snapshot_order_flow_proxy is a labelled snapshot proxy derived from FI-2010 matrices. It should not be interpreted as true event-level order-flow imbalance.
fold_3,20,2,logistic,remove_one_group,snapshot_order_flow_proxy,-0.3204942496810413,-0.3968592635825468,True,True,True,snapshot_order_flow_proxy is a labelled snapshot proxy derived from FI-2010 matrices. It should not be interpreted as true event-level order-flow imbalance.
fold_4,20,0,logistic,remove_one_group,snapshot_order_flow_proxy,-0.3546368628283359,-0.4129162080150897,True,True,True,snapshot_order_flow_proxy is a labelled snapshot proxy derived from FI-2010 matrices. It should not be interpreted as true event-level order-flow imbalance.
fold_4,20,1,logistic,remove_one_group,snapshot_order_flow_proxy,-0.3546368628283359,-0.4129162080150897,True,True,True,snapshot_order_flow_proxy is a labelled snapshot proxy derived from FI-2010 matrices. It should not be interpreted as true event-level order-flow imbalance.
fold_4,20,2,logistic,remove_one_group,snapshot_order_flow_proxy,-0.3546368628283359,-0.4129162080150897,True,True,True,snapshot_order_flow_proxy is a labelled snapshot proxy derived from FI-2010 matrices. It should not be interpreted as true event-level order-flow imbalance.
fold_5,20,0,logistic,remove_one_group,snapshot_order_flow_proxy,-0.3529482051712756,-0.4441029082464277,True,True,True,snapshot_order_flow_proxy is a labelled snapshot proxy derived from FI-2010 matrices. It should not be interpreted as true event-level order-flow imbalance.
fold_5,20,1,logistic,remove_one_group,snapshot_order_flow_proxy,-0.3529482051712756,-0.4441029082464277,True,True,True,snapshot_order_flow_proxy is a labelled snapshot proxy derived from FI-2010 matrices. It should not be interpreted as true event-level order-flow imbalance.
fold_5,20,2,logistic,remove_one_group,snapshot_order_flow_proxy,-0.3529482051712756,-0.4441029082464277,True,True,True,snapshot_order_flow_proxy is a labelled snapshot proxy derived from FI-2010 matrices. It should not be interpreted as true event-level order-flow imbalance.
fold_1,20,0,ridge,remove_one_group,snapshot_order_flow_proxy,-0.0769305840608172,-0.0936271780443754,True,True,True,snapshot_order_flow_proxy is a labelled snapshot proxy derived from FI-2010 matrices. It should not be interpreted as true event-level order-flow imbalance.
fold_1,20,1,ridge,remove_one_group,snapshot_order_flow_proxy,-0.0769305840608172,-0.0936271780443754,True,True,True,snapshot_order_flow_proxy is a labelled snapshot proxy derived from FI-2010 matrices. It should not be interpreted as true event-level order-flow imbalance.
fold_1,20,2,ridge,remove_one_group,snapshot_order_flow_proxy,-0.0769305840608172,-0.0936271780443754,True,True,True,snapshot_order_flow_proxy is a labelled snapshot proxy derived from FI-2010 matrices. It should not be interpreted as true event-level order-flow imbalance.
fold_2,20,0,ridge,remove_one_group,snapshot_order_flow_proxy,-0.0867650258385984,-0.1300695400235597,True,True,True,snapshot_order_flow_proxy is a labelled snapshot proxy derived from FI-2010 matrices. It should not be interpreted as true event-level order-flow imbalance.
fold_2,20,1,ridge,remove_one_group,snapshot_order_flow_proxy,-0.0867650258385984,-0.1300695400235597,True,True,True,snapshot_order_flow_proxy is a labelled snapshot proxy derived from FI-2010 matrices. It should not be interpreted as true event-level order-flow imbalance.
fold_2,20,2,ridge,remove_one_group,snapshot_order_flow_proxy,-0.0867650258385984,-0.1300695400235597,True,True,True,snapshot_order_flow_proxy is a labelled snapshot proxy derived from FI-2010 matrices. It should not be interpreted as true event-level order-flow imbalance.
fold_3,20,0,ridge,remove_one_group,snapshot_order_flow_proxy,-0.0931813541729153,-0.1208237995625506,True,True,True,snapshot_order_flow_proxy is a labelled snapshot proxy derived from FI-2010 matrices. It should not be interpreted as true event-level order-flow imbalance.
fold_3,20,1,ridge,remove_one_group,snapshot_order_flow_proxy,-0.0931813541729153,-0.1208237995625506,True,True,True,snapshot_order_flow_proxy is a labelled snapshot proxy derived from FI-2010 matrices. It should not be interpreted as true event-level order-flow imbalance.
fold_3,20,2,ridge,remove_one_group,snapshot_order_flow_proxy,-0.0931813541729153,-0.1208237995625506,True,True,True,snapshot_order_flow_proxy is a labelled snapshot proxy derived from FI-2010 matrices. It should not be interpreted as true event-level order-flow imbalance.
fold_4,20,0,ridge,remove_one_group,snapshot_order_flow_proxy,-0.1090054631134219,-0.1206454547187986,True,True,True,snapshot_order_flow_proxy is a labelled snapshot proxy derived from FI-2010 matrices. It should not be interpreted as true event-level order-flow imbalance.
fold_4,20,1,ridge,remove_one_group,snapshot_order_flow_proxy,-0.1090054631134219,-0.1206454547187986,True,True,True,snapshot_order_flow_proxy is a labelled snapshot proxy derived from FI-2010 matrices. It should not be interpreted as true event-level order-flow imbalance.
fold_4,20,2,ridge,remove_one_group,snapshot_order_flow_proxy,-0.1090054631134219,-0.1206454547187986,True,True,True,snapshot_order_flow_proxy is a labelled snapshot proxy derived from FI-2010 matrices. It should not be interpreted as true event-level order-flow imbalance.
fold_5,20,0,ridge,remove_one_group,snapshot_order_flow_proxy,-0.0835723324961234,-0.1023308644407167,True,True,True,snapshot_order_flow_proxy is a labelled snapshot proxy derived from FI-2010 matrices. It should not be interpreted as true event-level order-flow imbalance.
fold_5,20,1,ridge,remove_one_group,snapshot_order_flow_proxy,-0.0835723324961234,-0.1023308644407167,True,True,True,snapshot_order_flow_proxy is a labelled snapshot proxy derived from FI-2010 matrices. It should not be interpreted as true event-level order-flow imbalance.
fold_5,20,2,ridge,remove_one_group,snapshot_order_flow_proxy,-0.0835723324961234,-0.1023308644407167,True,True,True,snapshot_order_flow_proxy is a labelled snapshot proxy derived from FI-2010 matrices. It should not be interpreted as true event-level order-flow imbalance.
fold_1,50,0,gradient_boosting,remove_one_group,snapshot_order_flow_proxy,-0.1779778119641664,-0.2618797401996512,True,True,True,snapshot_order_flow_proxy is a labelled snapshot proxy derived from FI-2010 matrices. It should not be interpreted as true event-level order-flow imbalance.
fold_2,50,0,gradient_boosting,remove_one_group,snapshot_order_flow_proxy,-0.1802086704004677,-0.2320242409854878,True,True,True,snapshot_order_flow_proxy is a labelled snapshot proxy derived from FI-2010 matrices. It should not be interpreted as true event-level order-flow imbalance.
fold_3,50,0,gradient_boosting,remove_one_group,snapshot_order_flow_proxy,-0.1632703288880481,-0.2533716399224835,True,True,True,snapshot_order_flow_proxy is a labelled snapshot proxy derived from FI-2010 matrices. It should not be interpreted as true event-level order-flow imbalance.
fold_4,50,0,gradient_boosting,remove_one_group,snapshot_order_flow_proxy,-0.1402961662766697,-0.2242436245778833,True,True,True,snapshot_order_flow_proxy is a labelled snapshot proxy derived from FI-2010 matrices. It should not be interpreted as true event-level order-flow imbalance.
fold_5,50,0,gradient_boosting,remove_one_group,snapshot_order_flow_proxy,-0.187203527919811,-0.2652583720845454,True,True,True,snapshot_order_flow_proxy is a labelled snapshot proxy derived from FI-2010 matrices. It should not be interpreted as true event-level order-flow imbalance.
fold_1,50,0,logistic,remove_one_group,snapshot_order_flow_proxy,-0.0050243791031745,-0.0071659260336112,True,True,True,snapshot_order_flow_proxy is a labelled snapshot proxy derived from FI-2010 matrices. It should not be interpreted as true event-level order-flow imbalance.
fold_1,50,1,logistic,remove_one_group,snapshot_order_flow_proxy,-0.0050243791031745,-0.0071659260336112,True,True,True,snapshot_order_flow_proxy is a labelled snapshot proxy derived from FI-2010 matrices. It should not be interpreted as true event-level order-flow imbalance.
fold_1,50,2,logistic,remove_one_group,snapshot_order_flow_proxy,-0.0050243791031745,-0.0071659260336112,True,True,True,snapshot_order_flow_proxy is a labelled snapshot proxy derived from FI-2010 matrices. It should not be interpreted as true event-level order-flow imbalance.
fold_2,50,0,logistic,remove_one_group,snapshot_order_flow_proxy,-0.0090630144923868,-0.0146591105891239,True,True,True,snapshot_order_flow_proxy is a labelled snapshot proxy derived from FI-2010 matrices. It should not be interpreted as true event-level order-flow imbalance.
fold_2,50,1,logistic,remove_one_group,snapshot_order_flow_proxy,-0.0090630144923868,-0.0146591105891239,True,True,True,snapshot_order_flow_proxy is a labelled snapshot proxy derived from FI-2010 matrices. It should not be interpreted as true event-level order-flow imbalance.
fold_2,50,2,logistic,remove_one_group,snapshot_order_flow_proxy,-0.0090630144923868,-0.0146591105891239,True,True,True,snapshot_order_flow_proxy is a labelled snapshot proxy derived from FI-2010 matrices. It should not be interpreted as true event-level order-flow imbalance.
fold_3,50,0,logistic,remove_one_group,snapshot_order_flow_proxy,-0.0259570742787019,-0.0395935287414039,True,True,True,snapshot_order_flow_proxy is a labelled snapshot proxy derived from FI-2010 matrices. It should not be interpreted as true event-level order-flow imbalance.
fold_3,50,1,logistic,remove_one_group,snapshot_order_flow_proxy,-0.0259570742787019,-0.0395935287414039,True,True,True,snapshot_order_flow_proxy is a labelled snapshot proxy derived from FI-2010 matrices. It should not be interpreted as true event-level order-flow imbalance.
fold_3,50,2,logistic,remove_one_group,snapshot_order_flow_proxy,-0.0259570742787019,-0.0395935287414039,True,True,True,snapshot_order_flow_proxy is a labelled snapshot proxy derived from FI-2010 matrices. It should not be interpreted as true event-level order-flow imbalance.
fold_4,50,0,logistic,remove_one_group,snapshot_order_flow_proxy,-0.0224278066630104,-0.0349611342800038,True,True,True,snapshot_order_flow_proxy is a labelled snapshot proxy derived from FI-2010 matrices. It should not be interpreted as true event-level order-flow imbalance.
fold_4,50,1,logistic,remove_one_group,snapshot_order_flow_proxy,-0.0224278066630104,-0.0349611342800038,True,True,True,snapshot_order_flow_proxy is a labelled snapshot proxy derived from FI-2010 matrices. It should not be interpreted as true event-level order-flow imbalance.
fold_4,50,2,logistic,remove_one_group,snapshot_order_flow_proxy,-0.0224278066630104,-0.0349611342800038,True,True,True,snapshot_order_flow_proxy is a labelled snapshot proxy derived from FI-2010 matrices. It should not be interpreted as true event-level order-flow imbalance.
fold_5,50,0,logistic,remove_one_group,snapshot_order_flow_proxy,-0.0367997640772246,-0.05466433687859,True,True,True,snapshot_order_flow_proxy is a labelled snapshot proxy derived from FI-2010 matrices. It should not be interpreted as true event-level order-flow imbalance.
fold_5,50,1,logistic,remove_one_group,snapshot_order_flow_proxy,-0.0367997640772246,-0.05466433687859,True,True,True,snapshot_order_flow_proxy is a labelled snapshot proxy derived from FI-2010 matrices. It should not be interpreted as true event-level order-flow imbalance.
fold_5,50,2,logistic,remove_one_group,snapshot_order_flow_proxy,-0.0367997640772246,-0.05466433687859,True,True,True,snapshot_order_flow_proxy is a labelled snapshot proxy derived from FI-2010 matrices. It should not be interpreted as true event-level order-flow imbalance.
fold_1,50,0,ridge,remove_one_group,snapshot_order_flow_proxy,-0.0044411225468827,-0.006375195813631,True,True,True,snapshot_order_flow_proxy is a labelled snapshot proxy derived from FI-2010 matrices. It should not be interpreted as true event-level order-flow imbalance.
fold_1,50,1,ridge,remove_one_group,snapshot_order_flow_proxy,-0.0044411225468827,-0.006375195813631,True,True,True,snapshot_order_flow_proxy is a labelled snapshot proxy derived from FI-2010 matrices. It should not be interpreted as true event-level order-flow imbalance.
fold_1,50,2,ridge,remove_one_group,snapshot_order_flow_proxy,-0.0044411225468827,-0.006375195813631,True,True,True,snapshot_order_flow_proxy is a labelled snapshot proxy derived from FI-2010 matrices. It should not be interpreted as true event-level order-flow imbalance.
fold_2,50,0,ridge,remove_one_group,snapshot_order_flow_proxy,-0.0045989763561762,-0.0066879871119555,True,True,True,snapshot_order_flow_proxy is a labelled snapshot proxy derived from FI-2010 matrices. It should not be interpreted as true event-level order-flow imbalance.
fold_2,50,1,ridge,remove_one_group,snapshot_order_flow_proxy,-0.0045989763561762,-0.0066879871119555,True,True,True,snapshot_order_flow_proxy is a labelled snapshot proxy derived from FI-2010 matrices. It should not be interpreted as true event-level order-flow imbalance.
fold_2,50,2,ridge,remove_one_group,snapshot_order_flow_proxy,-0.0045989763561762,-0.0066879871119555,True,True,True,snapshot_order_flow_proxy is a labelled snapshot proxy derived from FI-2010 matrices. It should not be interpreted as true event-level order-flow imbalance.
fold_3,50,0,ridge,remove_one_group,snapshot_order_flow_proxy,-0.0063844781052075,-0.0083181374223315,True,True,True,snapshot_order_flow_proxy is a labelled snapshot proxy derived from FI-2010 matrices. It should not be interpreted as true event-level order-flow imbalance.
fold_3,50,1,ridge,remove_one_group,snapshot_order_flow_proxy,-0.0063844781052075,-0.0083181374223315,True,True,True,snapshot_order_flow_proxy is a labelled snapshot proxy derived from FI-2010 matrices. It should not be interpreted as true event-level order-flow imbalance.
fold_3,50,2,ridge,remove_one_group,snapshot_order_flow_proxy,-0.0063844781052075,-0.0083181374223315,True,True,True,snapshot_order_flow_proxy is a labelled snapshot proxy derived from FI-2010 matrices. It should not be interpreted as true event-level order-flow imbalance.
fold_4,50,0,ridge,remove_one_group,snapshot_order_flow_proxy,-0.0036941594920715,-0.0034793963659412,True,True,True,snapshot_order_flow_proxy is a labelled snapshot proxy derived from FI-2010 matrices. It should not be interpreted as true event-level order-flow imbalance.
fold_4,50,1,ridge,remove_one_group,snapshot_order_flow_proxy,-0.0036941594920715,-0.0034793963659412,True,True,True,snapshot_order_flow_proxy is a labelled snapshot proxy derived from FI-2010 matrices. It should not be interpreted as true event-level order-flow imbalance.
fold_4,50,2,ridge,remove_one_group,snapshot_order_flow_proxy,-0.0036941594920715,-0.0034793963659412,True,True,True,snapshot_order_flow_proxy is a labelled snapshot proxy derived from FI-2010 matrices. It should not be interpreted as true event-level order-flow imbalance.
fold_5,50,0,ridge,remove_one_group,snapshot_order_flow_proxy,-0.0034944110429677,-0.0047046721638964,True,True,True,snapshot_order_flow_proxy is a labelled snapshot proxy derived from FI-2010 matrices. It should not be interpreted as true event-level order-flow imbalance.
fold_5,50,1,ridge,remove_one_group,snapshot_order_flow_proxy,-0.0034944110429677,-0.0047046721638964,True,True,True,snapshot_order_flow_proxy is a labelled snapshot proxy derived from FI-2010 matrices. It should not be interpreted as true event-level order-flow imbalance.
fold_5,50,2,ridge,remove_one_group,snapshot_order_flow_proxy,-0.0034944110429677,-0.0047046721638964,True,True,True,snapshot_order_flow_proxy is a labelled snapshot proxy derived from FI-2010 matrices. It should not be interpreted as true event-level order-flow imbalance.
